calib_targets,sector
frac_agrc_n_in_above_ground_residue_rice,AFOLU
frac_agrc_n_in_above_ground_residue_pulses,AFOLU
frac_agrc_n_in_above_ground_residue_other_annual,AFOLU
frac_agrc_n_in_above_ground_residue_cereals,AFOLU
ef_agrc_biomass_other_woody_perennial_tonne_co2_ha,AFOLU
ef_agrc_biomass_nuts_tonne_co2_ha,AFOLU
ef_agrc_biomass_fruits_tonne_co2_ha,AFOLU
ef_agrc_biomass_burning_n2o,AFOLU
ef_agrc_biomass_bevs_and_spices_tonne_co2_ha,AFOLU
ef_agrc_anaerobicdom_rice_kg_ch4_ha,AFOLU
ef_frst_forestfires_secondary_co2,AFOLU
hl_frst_half_life_hwp_paper_products,AFOLU
ratio_agrc_below_ground_to_above_ground_biomass_rice,AFOLU
qty_frst_biomass_consumed_by_fire_temperate_primary_tonne_per_ha,AFOLU
genfactor_lvst_daily_volatile_solids_buffalo,AFOLU
genfactor_lvst_daily_nitrogen_sheep,AFOLU
genfactor_lvst_daily_nitrogen_pigs,AFOLU
genfactor_lvst_daily_nitrogen_mules,AFOLU
genfactor_lvst_daily_nitrogen_horses,AFOLU
genfactor_lvst_daily_nitrogen_goats,AFOLU
hl_frst_half_life_hwp_wood_products,AFOLU
genfactor_lvst_daily_nitrogen_cattle_nondairy,AFOLU
genfactor_lvst_daily_nitrogen_cattle_dairy,AFOLU
genfactor_lvst_daily_nitrogen_buffalo,AFOLU
ef_lvst_entferm_sheep_kg_ch4_head,AFOLU
ef_lvst_entferm_pigs_kg_ch4_head,AFOLU
genfactor_lvst_daily_nitrogen_chickens,AFOLU
ef_lvst_entferm_horses_kg_ch4_head,AFOLU
ef_lvst_entferm_mules_kg_ch4_head,AFOLU
qty_frst_biomass_consumed_by_fire_temperate_secondary_tonne_per_ha,AFOLU
qty_frst_biomass_consumed_by_fire_tropical_primary_tonne_per_ha,AFOLU
qty_frst_biomass_consumed_by_fire_tropical_secondary_tonne_per_ha,AFOLU
ef_lndu_boc_wetlands_gg_ch4_ha,AFOLU
pij_lndu_wetlands_to_settlements,AFOLU
scalar_lndu_vegetarian_dietary_exchange,AFOLU
ef_lvst_entferm_buffalo_kg_ch4_head,AFOLU
ef_lvst_entferm_cattle_dairy_kg_ch4_head,AFOLU
