Nation,Year,value,mineria_share,manu_share,industrial_share,comercio_share,total_share
paraguay,1974,6.11647202418448,0.0,0.175901248087991,0.04593166167709198,0.384586083551069,0.606418993316152
el_salvador,1974,12.7675248165101,9.425473495177e-05,0.19905395346603602,0.05227267270151495,0.375777366917185,0.6271982478196878
uruguay,1974,18.1265016443823,0.0,,,,
argentina,1975,257.097956428962,0.00029998885470856,0.382151082839456,0.11926215394526396,0.432747682872493,0.9344609085119215
bahamas,1975,3.6189485561861803,0.0,,,,
belize,1975,0.258445431614924,0.0,,,,
brazil,1975,554.123457284639,0.006485331257713009,0.255849225498264,0.08377992876000001,0.40348724032565697,0.749601725841634
barbados,1975,2.79492794746798,0.0,0.2040766639484605,0.09031531392854217,0.4582711252679033,0.752663103144906
chile,1975,37.6588742588704,0.103917600184545,0.202766819282051,0.17853367865254796,0.545645942069009,1.030864040188153
colombia,1975,66.383485648104,0.00019790786344544,0.23224917799697897,0.05993216623715103,0.47613969608104495,0.7685189481786203
costa_rica,1975,11.501912827076,0.0,0.20395011011241,0.06977851344143005,0.522886593687958,0.796615217241798
dominican_republic,1975,12.2387623492379,0.020877549091004602,0.20896310291175801,0.095526571510622,0.348938653034008,0.6743058765473926
ecuador,1975,27.2320945408722,9.3448378921e-06,0.18842138512165701,0.06777652245330701,0.485796854051342,0.7420041064641981
guatemala,1975,17.1731316849494,0.0006494732129567,0.15144301818481,0.033493458405331994,0.5345772785869061,0.7201632283900048
guyana,1975,2.59421710108966,0.131674457781042,0.136084210526316,0.181305263157895,0.319326315789474,0.768390247254727
honduras,1975,4.70964323988143,0.0120949948857733,0.141903914590747,0.08274021352313199,0.430605026690391,0.6673441496900433
haiti,1975,8.72659098082837,0.013040098152505699,,,,
jamaica,1975,9.766844113316878,0.0688407246260447,,,,
mexico,1975,369.081055690033,0.00227195717465492,0.210979454545455,0.09434245454545401,0.526130909090909,0.8337247753564729
nicaragua,1975,7.44524824870743,0.0026424588328570297,,,,
panama,1975,8.31793965783137,0.0,0.21287472886856298,0.06334802294300704,0.611732432101601,0.887955183913171
peru,1975,60.319964582930396,0.0130096933372599,0.181624474679324,0.10614062374384,0.47047962777421,0.7712544195346338
paraguay,1975,6.53559988813855,0.0,0.15158355168846702,0.05391227637196197,0.384068284332516,0.5895641123929449
el_salvador,1975,13.1407874758119,2.803957959499e-05,0.20030570238064999,0.06485786123718901,0.381504342531031,0.6466959457284649
uruguay,1975,19.2316589175105,0.0,,,,
argentina,1976,251.90907302399302,0.0003895149349496,0.39116760327857897,0.11776936503378505,0.409540839988848,0.9188673232361617
bahamas,1976,3.8065977328554,0.0,,,,
belize,1976,0.258357506040861,0.0,,,,
brazil,1976,610.9606180809631,0.00866695523430321,0.26688897802086,0.08178827803204403,0.41515166967918,0.7724958809663872
barbados,1976,2.91679270340581,0.0,0.2045564203632135,0.0937179056904345,0.462045937385819,0.760320263439467
chile,1976,39.102182251584,0.109194038414762,0.23262795497375102,0.16708302330759198,0.503469831233595,1.0123748479297001
colombia,1976,69.5223416262367,0.00022033330803476002,0.24175324553328198,0.06658087061078,0.461292201326394,0.7698466507784907
costa_rica,1976,12.136538274865101,0.0,0.196951962699994,0.07753100272785302,0.521755112306293,0.79623807773414
dominican_republic,1976,13.0622012901117,0.0196511021327137,0.206200177147919,0.09547840070441,0.39838036188789094,0.7197100418729336
ecuador,1976,29.246503666727502,1.704373172741e-05,0.193186712481648,0.07662359756176698,0.493407365624635,0.7632347193997775
guatemala,1976,18.441756538235598,0.00070332035914877,0.15574905936595201,0.04528002449865798,0.526024166677013,0.7277565709007718
